Folder,Extracted Name,Best Match,Score,Reason
スマホ搭載の取り組み状況について,,,0.0,No Match
不動産登記ベース・レジストリにおける地図の取扱いについて,,,0.0,No Match
データ戦略推進ワーキンググループの開催について,,,0.0,No Match
経済産業政策のEBPMの強化等について,,,0.0,No Match
MaaSの社会実装の視点からみた官民・事業者間のデータ連携とその意義について,,,0.0,No Match
e-Govの利用状況及び今後予定している主な機能拡充について,,,0.0,No Match
EBPMの基礎となるデータの利活用に向けた共同研究の取組みについて,,,0.0,No Match
マイナ保険証の利用促進等について,,,0.0,No Match
商業登記電子証明書のリモート署名方式の導入について,,,0.0,No Match
本人確認ガイドラインの改定について,,,0.0,No Match
デジタルライフライン全国総合整備計画策定に向けた検討状況について,,,0.0,No Match
法制事務のデジタル化について,,,0.0,No Match
土地系ベース・レジストリと制度的課題について,,,0.0,No Match
デジタル本人確認を選択するためのガイドラインの検討状況について,,,0.0,No Match
児童福祉法改正法案による子育て支援について,,,0.0,No Match
マイナンバーカード・有効期限に関する周知等について,,,0.0,No Match
登記情報のAPI開放について,,,0.0,No Match
デジタル原則適合性確認等のための指針(案),,,0.0,No Match
マイナポータルバックエンドシステムの更改に伴う新規機能追加停止期間と移行リハーサル等について,,,0.0,No Match
マイナンバーによる情報連携の正確性確保に向けた総点検について,,,0.0,No Match
国際的な産業データのデータガバナンスの在り方について,,,0.0,No Match
政府ウェブサイトの情報発信力強化に向けた取組について,,,0.0,No Match
建築物等の定期調査・検査について,,,0.0,No Match
本検討会,,,0.0,No Match
電子調達システムの新機能(少額物品調達業務)のご紹介について,,,0.0,No Match
更別村のWell-being指標の活用について,,,0.0,No Match
利用者目線の行政サービス実現に向けたトータルデザインの検討について,,,0.0,No Match
統計等データの提供等の判断のためのガイドラインに基づく取組について,,,0.0,No Match
デジタルライフライン全国総合整備計画の検討方針について,,,0.0,No Match
マイナンバーカードの積極的な取得と利活用の促進に係る通知の発出状況等のフォローアップ等について(依頼),,,0.0,No Match
サイバーセキュリティ戦略等について,,,0.0,No Match
地方公共団体の基幹業務システムの統一・標準化に関する共通機能等技術要件検討会 申請管理ワーキングチーム,）,,0.0,No Match
作業部会,,,0.0,No Match
DFFTに関するこれまでの取組及び本検討会の趣旨について,,,0.0,No Match
デジタル庁の取組について,,,0.0,No Match
都市公園等の巡視・点検について,,,0.0,No Match
児童虐待におけるAIの活用等について,,,0.0,No Match
少額物品調達業務の利用促進に向けた取組について,,,0.0,No Match
DX推進のための体制整備について,,,0.0,No Match
デジタル庁コンプライアンス基本方針(案),,,0.0,No Match
Verifiable Credential (VCVDC) の活用におけるガバナンスに関する有識者会議,）,,0.0,No Match
モビリティ・ロードマップ2024(案)の概要,,,0.0,No Match
Gビズポータルのリリースについて,,,0.0,No Match
人事管理業務のデジタル化・高度化について,,,0.0,No Match
フロン排出抑制法における第一種特定製品管理者の簡易点検について,,,0.0,No Match
主任無線従事者制度について,,,0.0,No Match
法令のデジタル原則への適合性確認のプロセス・体制について,,,0.0,No Match
補助金の電子申請化の推進事例について,,,0.0,No Match
中間とりまとめ,,,0.0,No Match
デジタル田園都市国家研究投資制度について,,,0.0,No Match
モビリティ・ロードマップ2024(案),,,0.0,No Match
地方公共団体の基幹業務システムの統一・標準化に関する共通機能等技術要件検討会 データ連携ワーキングチーム,）,,0.0,No Match
情報システムの整備及び管理の基本的な方針の策定について,,,0.0,No Match
行政手続のデジタル原則適合に向けた対応について,,,0.0,No Match
地域幸福度(LWCI)の活用モデルについて,,,0.0,No Match
地方公共団体情報システム標準化基本方針の改定案について,,,0.0,No Match
非機能要件の標準の改定について,,,0.0,No Match
マイナンバーカード申請支援のお願い(案),,,0.0,No Match
次世代型セキュリティアーキテクチャの検討について,,,0.0,No Match
Gビズポータル(事業者ポータル)の検討状況について,,,0.0,No Match
モビリティ・ロードマップ2024の概要,,,0.0,No Match
消防用設備等の定期点検について,,,0.0,No Match
Dig Onceポリシーと道路管理の現状について,,,0.0,No Match
標準仕様の指定都市における課題の検討体制・手順(案),,,0.0,No Match
持続可能な街づくりと移動ニーズ解消のための不可欠要素について,,,0.0,No Match
デジタル庁規制改革推進委員会向け資料,,,0.0,No Match
こどもに関する情報・データ連携 副大臣プロジェクトチームの開催について,,,0.0,No Match
各府省庁DX 推進連絡会議(第3回)・デジタル社会推進会議幹事会(第18 回)合同会議 議事次第,）・,物流・自動車局,0.22,Similarity
デジタル・ガバメント実行計画の概要,,,0.0,No Match
事業者向け行政手続の全体像整理に向けた行政手続の悉皆調査について,,,0.0,No Match
モビリティ・ロードマップ2025の概要,,,0.0,No Match
こどもに関する情報・データ連携 副大臣プロジェクトチームにおける論点整理 骨子(案),副大臣PT 資料参照,こどもに関する情報・データ連携 副大臣プロジェクト チーム,0.21,Similarity
ドメイン管理ガイドラインの改定について,,,0.0,No Match
第7回デジタル田園都市国家構想実現に向けた地域幸福度(Well-Being)指標の活用促進に関する検討会,デジタル田園都市国家構想実現に向けた,第1回デジタル田園都市国家構想実現に向けた地域幸福度(Well-Being)指標検討会,0.8,Similarity
モビリティワーキンググループの開催について,,,0.0,No Match
環境省説明資料,,,0.0,No Match
こどもに関する各種データの連携による支援実証事業について,,,0.0,No Match
規制の政策評価について,,,0.0,No Match
方針確定リスト,,,0.0,No Match
旅行業務取扱管理者の専任について,,,0.0,No Match
デジタルマーケットプレイスについて,,,0.0,No Match
人と共存したロボットの社会実装に向けた課題と現在の取り組みについて,,,0.0,No Match
法制事務のデジタル化に向けた今後の検討方針(案),,,0.0,No Match
企業制裁制度の必要性とそのあり方について,,,0.0,No Match
法人ベース・レジストリの民間利用に関するこれまでのご指摘について,,,0.0,No Match
デジタル社会の実現に向けた重点計画(案),,,0.0,No Match
マイナンバーカードの円滑な更新、及びマイナ保険証・マイナ免許証の普及促進等との連携・推進方策について,,,0.0,No Match
フロッピーディスク等の記録媒体を指定する規定の見直しについて,,,0.0,No Match
事業者向け行政サービスのDXロードマップについて,,,0.0,No Match
教育データ利活用ロードマップの検討状況について,,,0.0,No Match
地方公共団体情報システムの標準化に関する法律への対応について,,,0.0,No Match
自動車保有関係手続にかかるワンストップサービス(OSS)について,,,0.0,No Match
データ要件・連携要件の今後の方針について,,,0.0,No Match
ベース・レジストリの活用可能性について,,,0.0,No Match
EBPMの推進について,,,0.0,No Match
マイナンバー法に関する検討事項について,,,0.0,No Match
雇用関係助成金DXの検討状況について,,,0.0,No Match
GビズIDの委任機能の拡充とGビズIDの法的根拠明確化について,,,0.0,No Match
行政手続における悉皆調査の結果(令和6年)と今後の調査について,,,0.0,No Match
Beyond 5G基金事業について,,,0.0,No Match
地方公共団体情報システム標準化基本方針改定案の概要について,,,0.0,No Match
地方公共団体情報システム標準化基本方針(案),,,0.0,No Match
行政手続のデジタル完結に向けた取組について,,,0.0,No Match
法人ベース・レジストリと制度的課題について,,,0.0,No Match
自治体等における先行事例ヒアリングの概要,,,0.0,No Match
マイナンバー制度と行政情報システムの改善機会について,,,0.0,No Match
不動産ベース・レジストリにおけるオンラインでの公用請求代替への期待について,,,0.0,No Match
地方公共団体情報システム標準化基本方針の概要,,,0.0,No Match
デジタルライフライン全国総合整備計画(案),,,0.0,No Match
CRSAの実装を見据えた今後の対応方針について,,,0.0,No Match
公的手続等のデジタル化の対応状況等について,,,0.0,No Match
河川・ダム管理における新技術導入について,,,0.0,No Match
デジタルインボイス(Peppol e-invoice)について,,,0.0,No Match
デジタル庁第2回トラストを確保したDX推進SWGプレゼン資料,トラストを確保したDX推進SWGプレゼン資料,トラストを確保したDX推進SWG,0.9,Similarity
法制事務のデジタル化に向けた工程表(案)について,,,0.0,No Match
法制事務のデジタル化に向けた取組について,,,0.0,No Match
法人ベース・レジストリ整備に向けた制度的対応について,,,0.0,No Match
電子証明書ニーズと課題について,,,0.0,No Match
補助金の電子申請化率向上に向けた Jグランツの新機能追加及び取組について,,,0.0,No Match
自動運転の実現に向けた警察の取組について,,,0.0,No Match
アドレス・ベース・レジストリにおける「町字」より下位の情報の取扱いについて,,,0.0,No Match
有識者会議,,,0.0,No Match
地方公共団体情報システムの標準化及び非機能要件の標準の概要,,,0.0,No Match
データ要件の他業務情報グループの考え方について,,,0.0,No Match
行政手続のデジタル完結に向けた横断的調査・点検の状況について,,,0.0,No Match
マイナンバーカードの有効期限・更新に関する広報について,,,0.0,No Match
第5回デジタル田園都市国家構想実現に向けた地域幸福度(Well-Being)指標の活用促進に関する検討会,デジタル田園都市国家構想実現に向けた地域幸福度,第1回デジタル田園都市国家構想実現に向けた地域幸福度(Well-Being)指標検討会,0.8,Similarity
公的手続等のデジタル化に関する対応状況等について,,,0.0,No Match
マイナンバー制度の利活用について,,,0.0,No Match
Well-Being指標活用の取り組みと担当部長制の導入について,,,0.0,No Match
DX推進体制の整備に対する支援措置の概要,,,0.0,No Match
トータルデザイン実現に向けた公共サービスメッシュ等の検討について,,,0.0,No Match
商業法人・不動産登記データに係る「外字」の取扱いについて,,,0.0,No Match
建設業許可標識等の掲示におけるデジタルサイネージの活用について,,,0.0,No Match
統合収納管理・統合滞納管理の方針について,,,0.0,No Match
法務局と自治体の文字コード統一について,,,0.0,No Match
行政手続のデジタル完結に向けた取組の状況について,,,0.0,No Match
先行自治体事例や取組等について,,,0.0,No Match
地方公共団体の基幹業務システムの統一・標準化に関する共通機能等技術要件検討会 宛名管理ワーキングチーム,）,,0.0,No Match
インフラ視点でのモビリティについて,,,0.0,No Match
こどもに関する情報・データ連携に関連する厚生労働省の取組みについて,,,0.0,No Match
AI政府調達・利活用ガイドライン(案)について,,,0.0,No Match
交通商社機能のあり方について,,,0.0,No Match
不動産登記ベース・レジストリへの期待事項について,,,0.0,No Match
デジタルマーケットプレイスの概要と取組状況について,,,0.0,No Match
